,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228547,228548
binarysearch_main,12991,12928,12928,12928,12928,12928,12928,12928,12928,12928,12929,12928
cover_main,339916,339916,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
fir2dim_main,533113,517586,514847,516241,516240,516241,516241,516241,516241,516241,516241,516241
fmref_main,56461112,59380281,55610122,53143603,59003320,59015058,59064248,59395360,59324383,58910160,59245280,59315487
huff_dec_main,44182412,44181965,43475036,44398201,44996835,42332987,42332987,42332988,42332988,42332988,42332988,42332987
iir_main,18619,18559,19179,18121,18577,18619,18710,18710,18710,18710,18710,18709
insertsort_main,97480,97203,127033,116309,97385,96193,98014,98024,98023,98024,98024,98023
jfdctint_main,77632,71470,71479,75276,78987,69520,75314,76657,74707,74707,74707,74707
ndes_main,3559704,3468483,3663068,3541953,3625686,3694642,3781860,3813443,3720689,3739554,3739555,3739555
st_main,5108383,5331287,5651492,5112847,5109311,5222245,5220287,5221841,5334538,5111396,5332713,5221948
statemate_main,147372,7142303,7024340,148123,7157849,146566,7149542,7114544,7130949,7247681,7230107,7230107
