,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,80.082696,53.245076999999995,83.17837399999999,81.566364,276.202043,107.759135,53.855547,53.278122999999994,58.889889,95.12222299999999,77.816077,133.125734
binarysearch_main,53.358118000000005,11.602910999999999,46.361463,36.855989,235.809622,65.677408,13.12101,13.489711,16.178604,54.42714,33.404239,90.02214
cover_main,83.338623,46.290729,72.52869899999999,69.637115,279.171463,106.414738,49.22680199999999,49.314645999999996,53.345451999999995,92.225973,78.767893,132.300253
fir2dim_main,82.035191,36.834896,69.980965,57.661390999999995,257.821867,91.861244,36.635003999999995,39.227237,39.98571,77.854035,73.895839,115.57997399999999
fmref_main,277.91138,234.754172,278.352378,252.231629,441.063893,299.176559,224.82747999999998,218.814858,214.71439800000002,281.42577,341.10136700000004,314.833052
huff_dec_main,109.52874800000001,65.40388300000001,107.331322,91.009664,316.414068,109.198905,63.059580000000004,64.14631299999999,64.095628,113.64701399999998,127.21977399999999,142.088492
iir_main,53.962936,13.118835,49.278585,36.636753999999996,225.56917099999998,63.189829,12.653538000000001,14.47825,17.705772,56.188342,37.32747,91.30257499999999
insertsort_main,54.037291999999994,13.498339,49.938185,39.396975,224.88403499999998,65.633829,14.498656,12.698816,21.125138999999997,58.735101,45.457029,92.674307
jfdctint_main,58.980885,16.162869,53.398296,39.91263,215.444796,63.979764,17.687922,20.993876,20.10993,61.066815999999996,42.328044,93.52446699999999
ndes_main,96.44878800000001,54.311194,92.929606,77.230193,294.67549299999996,113.792389,56.089887000000004,57.564902000000004,61.19692,82.678575,110.704351,136.437427
st_main,92.826123,34.297270999999995,92.06665100000001,80.906035,533.016612,183.726236,38.416387,47.893286,46.349456,153.3493,269.775121,156.631722
statemate_main,133.119147,89.81993499999999,131.897595,114.459687,310.528549,137.77820400000002,91.15299499999999,91.58153599999999,93.32360299999999,133.168183,119.43382199999999,120.13237799999999
