,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,264647,255247,290547,492647,530547,404747,249347,252147,272147,392147,479247,252948
binarysearch_main,13591,13228,13828,21928,17428,17428,12928,12928,13528,17728,18629,14128
cover_main,339916,339916,348485,348485,348485,348485,348485,348485,348485,348485,348485,348485
fir2dim_main,553113,520786,528247,650341,618240,594241,523441,538141,530741,578841,575141,526841
fmref_main,57453112,62070681,57798922,57937203,80538620,77212658,61755748,65075660,67064383,156200060,108092480,63433087
huff_dec_main,44208112,44181965,43475036,44807801,45279535,43594787,42693687,42513588,43054088,43594688,46838288,42873887
iir_main,18919,18859,25179,20221,22177,20719,19910,22310,22010,26810,39710,21409
insertsort_main,119880,121203,133433,121909,241385,107393,140414,100424,102823,109224,124424,102023
jfdctint_main,92332,105070,121179,198476,189587,197620,91414,92757,110407,191607,271407,104107
ndes_main,3999404,3671183,4176168,4681553,6408686,4647142,4149260,5315543,4095689,5406654,6897055,4165955
st_main,5171483,5383787,5792492,5334847,5397411,5393445,5276087,5268641,5449238,5356296,5716813,5301748
statemate_main,817072,7352103,10464340,3513923,11976049,4456566,7799542,8674144,8200449,11447681,11039807,7769907
