,adpcm_dec_main,binarysearch_main,cover_main,fir2dim_main,fmref_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,ndes_main,st_main,statemate_main
adpcm_dec_main,36100,26700,62000,264100,302000,176200,20800,23600,43600,163600,250700,24400
binarysearch_main,600,300,900,9000,4500,4500,0,0,600,4800,5700,1200
cover_main,0,0,0,0,0,0,0,0,0,0,0,0
fir2dim_main,20000,3200,13400,134100,102000,78000,7200,21900,14500,62600,58900,10600
fmref_main,992000,2690400,2188800,4793600,21535300,18197600,2691500,5680300,7740000,97289900,48847200,4117600
huff_dec_main,25700,0,0,409600,282700,1261800,360700,180600,721100,1261700,4505300,540900
iir_main,300,300,6000,2100,3600,2100,1200,3600,3300,8100,21000,2700
insertsort_main,22400,24000,6400,5600,144000,11200,42400,2400,4800,11200,26400,4000
jfdctint_main,14700,33600,49700,123200,110600,128100,16100,16100,35700,116900,196700,29400
ndes_main,439700,202700,513100,1139600,2783000,952500,367400,1502100,375000,1667100,3157500,426400
st_main,63100,52500,141000,222000,288100,171200,55800,46800,114700,244900,384100,79800
statemate_main,669700,209800,3440000,3365800,4818200,4310000,650000,1559600,1069500,4200000,3809700,539800
